Timestamp,Email Address,Name,Self Estimate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4/9/2023 6:02:39,15@email.com,User 15,7,6,6,3,6,3,4,2,3,1,1,15,0,20,30,40,10,5,5,16.7,85
4/9/2023 6:53:19,16@email.com,User 16,9,8,8,4,8,3,4,1,1,1,2,16,13.8,30,50,40,25,NA,12,16,90
4/9/2023 10:30:35,17@email.com,User 17,7,8,8,4,7,4,4,1,3,1,2,16.67,13.5,29,40,22,15,30,15,17,87.5
4/9/2023 15:08:55,18@email.com,User 18,6,8,9,5,9,4,3,1,3,1,3,14.2,37.8,30,12,10,3,4.5,35,20,85
4/10/2023 4:16:04,19@email.com,User 19,6,8,6,4,9,2,4,2,3,2,1,15,0.3,22.5,25,32,10,9,NA,16.6,88
4/10/2023 5:52:08,20@email.com,User 20,6,10,8,5,10,4,4,2,3,1,2,12.5,10,25,20,20,10,5,60,10,75
4/10/2023 9:52:48,21@email.com,User 21,6,4,4,2,7,1,3,1,3,1,2,21.5,10,35,30,100,15,4,9,16.7,85
4/10/2023 14:52:00,22@email.com,User 22,6,7,9,3,8,4,4,1,1,1,2,20,14,20,60,17,20,6,15,16.7,90
4/10/2023 14:54:09,23@email.com,User 23,9,7,6,4,7,3,4,2,2,1,2,20,15,30,30,15,NA,7,500,10,90
4/10/2023 15:17:46,24@email.com,User 24,7,8,8,4,9,4,4,2,3,1,1,30,9,26,35,12.5,20,6,15,16.7,86
4/10/2023 17:01:11,25@email.com,User 25,9,8,9,5,9,4,3,2,3,1,2,7,13,32,35,10,15,5,10,15,90
4/10/2023 18:32:14,26@email.com,User 26,9,9,5,3,9,4,4,1,3,3,2,23,12,30,40,20,NA,4.1,30,16.7,86
4/10/2023 18:51:50,27@email.com,User 27,7,9,8,5,9,4,3,1,3,1,1,26,15,36,17,20,20,4,42,15,95
4/10/2023 22:12:12,28@email.com,User 28,8,8,7,4,7,4,4,2,3,1,1,13,10,28,35,40,5,9,30,15,90
4/11/2023 4:02:42,29@email.com,User 29,6,8,8,4,8,4,3,1,3,1,2,15,11,27,NA,NA,10,NA,13,20,85
4/11/2023 6:17:57,30@email.com,User 30,10,10,10,5,10,5,4,1,1,1,1,NA,12,20,28.50,0,10,4,34,10,85
4/11/2023 7:29:13,31@email.com,User 31,3,8,4,2,7,4,3,1,3,1,2,NA,200,20,30,10,NA,4,24,20,90
4/11/2023 8:50:27,32@email.com,User 32,3,7,8,4,9,4,2,2,3,1,2,20,15,25,50,20,30,7,20,10,90
4/11/2023 11:21:14,33@email.com,User 33,7,9,9,4,8,4,4,2,3,1,1,23,12,27,NA,100,NA,12,15,16.6,90
4/11/2023 11:46:51,34@email.com,User 34,8,8,7,2,9,3,3,2,2,2,1,16.3,20,30,40,115,16.3,12,30,16.6,85
4/11/2023 12:46:13,35@email.com,User 35,6,4,5,4,7,4,1,2,3,3,1,20,20,30,25,25,10,5,15,20,85
4/11/2023 15:01:33,36@email.com,User 36,5,8,8,3,6,2,4,2,3,1,2,20,25,36,20,15,12,5.5,1.2,25,85
4/11/2023 15:47:41,37@email.com,User 37,5,8,8,4,9,4,3,2,3,3,1,15,15,25,20,20,12,5,20,20,90
4/11/2023 15:54:11,38@email.com,User 38,7,8,8,4,8,4,3,2,3,2,2,20,15,20,10,60,20,6,500,5,85
4/11/2023 17:15:37,39@email.com,User 39,6,8,8,4,6,4,3,2,3,1,1,13.1,10.4,30.4,44.4,10,15,4,4,30,95
4/11/2023 17:16:55,40@email.com,User 40,7,5,8,4,3,4,3,1,2,3,2,21,8,24.2,40,32,12,10,27,42,87
4/11/2023 18:36:30,41@email.com,User 41,3,8,8,4,8,3,3,2,3,3,1,15.2,15.2,24,50,18,10,10,12,20,85
4/11/2023 19:38:05,42@email.com,User 42,5,7,7,4,8,4,1,2,3,2,1,20,8,25,10,52,10,5,4,20,90
4/12/2023 5:02:54,43@email.com,User 43,8,8,8,4,8,3,3,1,3,3,1,16.67,13,23,30,36,15,4,26.7,16.67,90
4/12/2023 5:23:09,44@email.com,User 44,5,7,8,4,8,4,4,1,3,1,2,NA,23,35,20,30,10,7.5,40,10,85
4/12/2023 5:26:20,45@email.com,User 45,7,8,6,4,10,3,3,2,3,3,1,NA,NA,25,NA,NA,10,1,17,20,90
4/12/2023 8:19:46,46@email.com,User 46,8,9,5,4,7,4,3,2,2,1,2,23.5,9,33,15,10,10,4,15,15,88
4/12/2023 9:23:58,47@email.com,User 47,6,8,6,4,10,3,4,2,2,2,1,16,10,25,25,15,15,5,21,5,80
4/12/2023 15:35:07,48@email.com,User 48,6,8,8,4,7,3,3,2,3,1,1,12.8,18,25,30,15,10,4,12,20,90
4/12/2023 15:47:30,49@email.com,User 49,7,9,8,4,8,4,4,2,3,2,1,NA,15,25,30,10,25,4,35,16,96
4/12/2023 16:02:59,50@email.com,User 50,9,5,5,5,8,3,4,2,2,3,2,NA,NA,NA,NA,NA,NA,12,NA,NA,90
4/12/2023 16:49:49,51@email.com,User 51,7,10,9,4,9,5,3,2,3,3,1,10,0,20,50,20,20,7,10,10,90
4/13/2023 12:55:18,52@email.com,User 52,3,8,7,3,6,4,3,2,1,3,1,10,12,25,NA,5,12,6,12,20,90
